"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"248","Toeplitz",30,20,0.05,0.9216,0.8481,0.9484
"249","Toeplitz",30,20,0.07,1,1,1
"250","Toeplitz",30,20,0.1,1,1,1
"251","Toeplitz",30,30,0.01,0.069,0.0317,0.1344
"252","Toeplitz",30,30,0.03,0.7987,0.6288,0.8312
"253","Toeplitz",30,30,0.05,1,1,1
"254","Toeplitz",30,30,0.07,1,1,1
"255","Toeplitz",30,30,0.1,1,1,1
"256","Toeplitz",30,50,0.01,0.1357,0.053,0.1916
"257","Toeplitz",30,50,0.03,1,1,1
"258","Toeplitz",30,50,0.05,1,1,1
"259","Toeplitz",30,50,0.07,1,1,1
"260","Toeplitz",30,50,0.1,1,1,1
"261","Toeplitz",40,10,0.01,0.0488,0.0403,0.1341
"262","Toeplitz",40,10,0.03,0.0669,0.0478,0.1476
"263","Toeplitz",40,10,0.05,0.1431,0.0958,0.237
"264","Toeplitz",40,10,0.07,0.4301,0.3175,0.539
"265","Toeplitz",40,10,0.1,0.9652,0.9355,0.9821
"266","Toeplitz",40,20,0.01,0.0548,0.0336,0.1239
"267","Toeplitz",40,20,0.03,0.2798,0.1759,0.3671
"268","Toeplitz",40,20,0.05,0.9762,0.9535,0.9871
"269","Toeplitz",40,20,0.07,1,1,1
"270","Toeplitz",40,20,0.1,1,1,1
"271","Toeplitz",40,30,0.01,0.0629,0.03,0.1258
"272","Toeplitz",40,30,0.03,0.9042,0.8002,0.9271
"273","Toeplitz",40,30,0.05,1,1,1
"274","Toeplitz",40,30,0.07,1,1,1
"275","Toeplitz",40,30,0.1,1,1,1
"276","Toeplitz",40,50,0.01,0.1642,0.0694,0.2167
"277","Toeplitz",40,50,0.03,1,1,1
"278","Toeplitz",40,50,0.05,1,1,1
"279","Toeplitz",40,50,0.07,1,1,1
"280","Toeplitz",40,50,0.1,1,1,1
"281","Toeplitz",50,10,0.01,0.0527,0.0366,0.1292
"282","Toeplitz",50,10,0.03,0.0664,0.0465,0.1452
"283","Toeplitz",50,10,0.05,0.1766,0.1199,0.2677
"284","Toeplitz",50,10,0.07,0.5262,0.4138,0.6234
"285","Toeplitz",50,10,0.1,0.9903,0.9796,0.9952
"286","Toeplitz",50,20,0.01,0.0543,0.0324,0.1185
"287","Toeplitz",50,20,0.03,0.3462,0.2227,0.4253
"288","Toeplitz",50,20,0.05,0.9932,0.9866,0.9969
"289","Toeplitz",50,20,0.07,1,1,1
"290","Toeplitz",50,20,0.1,1,1,1
"291","Toeplitz",50,30,0.01,0.0625,0.034,0.1207
"292","Toeplitz",50,30,0.03,0.9595,0.9049,0.9709
"293","Toeplitz",50,30,0.05,1,1,1
"294","Toeplitz",50,30,0.07,1,1,1
"295","Toeplitz",50,30,0.1,1,1,1
"296","Toeplitz",50,50,0.01,0.1978,0.0872,0.2364
"297","Toeplitz",50,50,0.03,1,1,1
"298","Toeplitz",50,50,0.05,1,1,1
"299","Toeplitz",50,50,0.07,1,1,1
"300","Toeplitz",50,50,0.1,1,1,1
