"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified","powers_cauchy","powers_fisher"
"132","AR(2)",20,30,0.03,0.9192,0.7225,0.8278,0.0028,0.9654
"133","AR(2)",20,30,0.05,0.9998,0.9955,0.9992,0,0.9999
"134","AR(2)",20,30,0.07,1,1,1,0,1
"135","AR(2)",20,30,0.1,1,1,1,0,1
"136","AR(2)",20,50,0.01,0.4604,0.2257,0.2994,0.1411,0.6039
"137","AR(2)",20,50,0.03,1,0.9959,0.9997,0,1
"138","AR(2)",20,50,0.05,1,1,1,0,1
"139","AR(2)",20,50,0.07,1,1,1,0,1
"140","AR(2)",20,50,0.1,1,1,1,0,1
"141","AR(2)",30,10,0.01,0.0692,0.0525,0.0581,0.1707,0.2187
"142","AR(2)",30,10,0.03,0.2662,0.1682,0.2045,0.0856,0.4651
"143","AR(2)",30,10,0.05,0.5953,0.4289,0.5063,0.0189,0.7752
"144","AR(2)",30,10,0.07,0.8763,0.7442,0.8169,0.0014,0.9522
"145","AR(2)",30,10,0.1,0.9943,0.9714,0.9856,0,0.9989
"146","AR(2)",30,20,0.01,0.1491,0.0846,0.1038,0.201,0.2999
"147","AR(2)",30,20,0.03,0.7735,0.5657,0.6581,0.0107,0.8804
"148","AR(2)",30,20,0.05,0.9965,0.9779,0.9888,0,0.9994
"149","AR(2)",30,20,0.07,1,1,1,0,1
"150","AR(2)",30,20,0.1,1,1,1,0,1
"151","AR(2)",30,30,0.01,0.2726,0.1291,0.1688,0.1855,0.4267
"152","AR(2)",30,30,0.03,0.9862,0.9237,0.9632,2e-04,0.9956
"153","AR(2)",30,30,0.05,1,1,1,0,1
"154","AR(2)",30,30,0.07,1,1,1,0,1
"155","AR(2)",30,30,0.1,1,1,1,0,1
"156","AR(2)",30,50,0.01,0.6341,0.3561,0.45,0.0692,0.7521
"157","AR(2)",30,50,0.03,1,1,1,0,1
"158","AR(2)",30,50,0.05,1,1,1,0,1
"159","AR(2)",30,50,0.07,1,1,1,0,1
"160","AR(2)",30,50,0.1,1,1,1,0,1
"161","AR(2)",40,10,0.01,0.0793,0.0574,0.063,0.1663,0.2274
"162","AR(2)",40,10,0.03,0.3331,0.2175,0.2632,0.0574,0.5411
"163","AR(2)",40,10,0.05,0.7297,0.5716,0.6485,0.0095,0.8693
"164","AR(2)",40,10,0.07,0.9525,0.878,0.9175,4e-04,0.9854
"165","AR(2)",40,10,0.1,0.9994,0.9962,0.9986,0,0.9998
"166","AR(2)",40,20,0.01,0.1852,0.0973,0.125,0.1867,0.3393
"167","AR(2)",40,20,0.03,0.8938,0.7415,0.8141,0.0034,0.9545
"168","AR(2)",40,20,0.05,0.9997,0.9973,0.9992,0,0.9999
"169","AR(2)",40,20,0.07,1,1,1,0,1
