"","covariance_structures","variances","sample_sizes","power_global","power_max"
"280","AR(1)",5,9,"0.202","0.218"
"281","AR(1)",5,10,"0.243","0.223"
"282","AR(1)",5,11,"0.27","0.302"
"283","AR(1)",5,21,"0.596","0.763"
"284","AR(1)",5,31,"0.835","0.952"
"285","AR(1)",5,41,"0.956","0.992"
"286","AR(1)",5,51,"0.996","1"
"287","AR(1)",5,61,"0.999","1"
"288","AR(1)",5,71,"1","1"
"289","AR(1)",5,81,"1","1"
"290","AR(1)",5,91,"1","1"
"291","AR(1)",6,3,"0.001","0.671"
"292","AR(1)",6,4,"0.078","0.073"
"293","AR(1)",6,5,"0.105","0.08"
"294","AR(1)",6,6,"0.122","0.102"
"295","AR(1)",6,7,"0.156","0.132"
"296","AR(1)",6,8,"0.162","0.146"
"297","AR(1)",6,9,"0.2","0.179"
"298","AR(1)",6,10,"0.199","0.197"
"299","AR(1)",6,11,"0.22","0.242"
"300","AR(1)",6,21,"0.502","0.66"
"301","AR(1)",6,31,"0.727","0.893"
"302","AR(1)",6,41,"0.894","0.977"
"303","AR(1)",6,51,"0.97","0.994"
"304","AR(1)",6,61,"0.988","0.999"
"305","AR(1)",6,71,"0.999","1"
"306","AR(1)",6,81,"0.999","1"
"307","AR(1)",6,91,"1","1"
"308","AR(1)",7,3,"0","0.67"
"309","AR(1)",7,4,"0.076","0.074"
"310","AR(1)",7,5,"0.082","0.077"
"311","AR(1)",7,6,"0.125","0.085"
"312","AR(1)",7,7,"0.122","0.102"
"313","AR(1)",7,8,"0.157","0.13"
"314","AR(1)",7,9,"0.156","0.147"
"315","AR(1)",7,10,"0.191","0.167"
"316","AR(1)",7,11,"0.185","0.195"
"317","AR(1)",7,21,"0.391","0.551"
"318","AR(1)",7,31,"0.613","0.831"
"319","AR(1)",7,41,"0.807","0.948"
"320","AR(1)",7,51,"0.915","0.986"
"321","AR(1)",7,61,"0.977","0.998"
"322","AR(1)",7,71,"0.99","0.999"
"323","AR(1)",7,81,"0.997","1"
"324","AR(1)",7,91,"1","1"
"325","AR(1)",8,3,"0","0.679"
"326","AR(1)",8,4,"0.063","0.069"
