"","covariance_structures","correlation_abs","sample_sizes","power_global","power_max"
"385","AR(2)",0,21,"0.388","0.459"
"386","AR(2)",0,31,"0.623","0.735"
"387","AR(2)",0,41,"0.785","0.886"
"388","AR(2)",0,51,"0.89","0.967"
"389","AR(2)",0,61,"0.947","0.984"
"390","AR(2)",0,71,"0.986","0.997"
"391","AR(2)",0,81,"0.991","1"
"392","AR(2)",0,91,"0.996","1"
"393","AR(2)",0.1,3,"0","0.605"
"394","AR(2)",0.1,4,"0.068","0.088"
"395","AR(2)",0.1,5,"0.08","0.068"
"396","AR(2)",0.1,6,"0.099","0.103"
"397","AR(2)",0.1,7,"0.105","0.101"
"398","AR(2)",0.1,8,"0.146","0.149"
"399","AR(2)",0.1,9,"0.15","0.18"
"400","AR(2)",0.1,10,"0.134","0.197"
"401","AR(2)",0.1,11,"0.162","0.254"
"402","AR(2)",0.1,21,"0.336","0.697"
"403","AR(2)",0.1,31,"0.584","0.92"
"404","AR(2)",0.1,41,"0.787","0.986"
"405","AR(2)",0.1,51,"0.93","0.997"
"406","AR(2)",0.1,61,"0.991","1"
"407","AR(2)",0.1,71,"1","1"
"408","AR(2)",0.1,81,"1","1"
"409","AR(2)",0.1,91,"1","1"
"410","AR(2)",0.2,3,"0","0.605"
"411","AR(2)",0.2,4,"0.052","0.075"
"412","AR(2)",0.2,5,"0.115","0.073"
"413","AR(2)",0.2,6,"0.115","0.107"
"414","AR(2)",0.2,7,"0.169","0.153"
"415","AR(2)",0.2,8,"0.154","0.177"
"416","AR(2)",0.2,9,"0.158","0.205"
"417","AR(2)",0.2,10,"0.197","0.251"
"418","AR(2)",0.2,11,"0.207","0.324"
"419","AR(2)",0.2,21,"0.416","0.778"
"420","AR(2)",0.2,31,"0.693","0.956"
"421","AR(2)",0.2,41,"0.901","0.996"
"422","AR(2)",0.2,51,"0.978","1"
"423","AR(2)",0.2,61,"0.999","1"
"424","AR(2)",0.2,71,"1","1"
"425","AR(2)",0.2,81,"1","1"
"426","AR(2)",0.2,91,"1","1"
"427","AR(2)",0.3,3,"0","0.615"
"428","AR(2)",0.3,4,"0.058","0.063"
"429","AR(2)",0.3,5,"0.11","0.079"
"430","AR(2)",0.3,6,"0.138","0.117"
"431","AR(2)",0.3,7,"0.142","0.163"
"432","AR(2)",0.3,8,"0.193","0.228"
"433","AR(2)",0.3,9,"0.188","0.251"
"434","AR(2)",0.3,10,"0.186","0.309"
"435","AR(2)",0.3,11,"0.197","0.354"
"436","AR(2)",0.3,21,"0.521","0.868"
"437","AR(2)",0.3,31,"0.836","0.979"
"438","AR(2)",0.3,41,"0.954","1"
"439","AR(2)",0.3,51,"0.999","1"
"440","AR(2)",0.3,61,"1","1"
"441","AR(2)",0.3,71,"1","1"
"442","AR(2)",0.3,81,"1","1"
"443","AR(2)",0.3,91,"1","1"
"444","AR(2)",0.4,3,"0","0.596"
"445","AR(2)",0.4,4,"0.077","0.081"
"446","AR(2)",0.4,5,"0.13","0.106"
"447","AR(2)",0.4,6,"0.153","0.166"
"448","AR(2)",0.4,7,"0.179","0.179"
"449","AR(2)",0.4,8,"0.217","0.284"
"450","AR(2)",0.4,9,"0.249","0.317"
"451","AR(2)",0.4,10,"0.257","0.39"
"452","AR(2)",0.4,11,"0.286","0.472"
"453","AR(2)",0.4,21,"0.659","0.945"
"454","AR(2)",0.4,31,"0.924","0.999"
"455","AR(2)",0.4,41,"0.999","1"
"456","AR(2)",0.4,51,"1","1"
"457","AR(2)",0.4,61,"1","1"
"458","AR(2)",0.4,71,"1","1"
"459","AR(2)",0.4,81,"1","1"
"460","AR(2)",0.4,91,"1","1"
"461","AR(2)",0.5,3,"0","0.618"
"462","AR(2)",0.5,4,"0.106","0.091"
"463","AR(2)",0.5,5,"0.187","0.14"
"464","AR(2)",0.5,6,"0.177","0.206"
"465","AR(2)",0.5,7,"0.245","0.248"
"466","AR(2)",0.5,8,"0.25","0.325"
"467","AR(2)",0.5,9,"0.302","0.402"
"468","AR(2)",0.5,10,"0.346","0.505"
"469","AR(2)",0.5,11,"0.368","0.608"
"470","AR(2)",0.5,21,"0.79","0.98"
"471","AR(2)",0.5,31,"0.988","1"
"472","AR(2)",0.5,41,"1","1"
"473","AR(2)",0.5,51,"1","1"
"474","AR(2)",0.5,61,"1","1"
"475","AR(2)",0.5,71,"1","1"
"476","AR(2)",0.5,81,"1","1"
"477","AR(2)",0.5,91,"1","1"
"478","AR(2)",0.6,3,"0","0.66"
